"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"13498","OPTCUR","GBPINR","OPTION","26-Jun-2025",117.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.2475,0.5325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.25,"GBPINR"
"13536","OPTCUR","GBPINR","OPTION","26-Jun-2025",117.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",5.745,7.495,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",9.415,"GBPINR"
"3080","OPTCUR","GBPINR","OPTION","26-Jun-2025",114.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.715,1.21,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.9625,"GBPINR"
"16288","OPTCUR","GBPINR","OPTION","26-Mar-2025",115.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",4.615,6.615,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.615,"GBPINR"
"15312","OPTCUR","USDINR","OPTION","26-Jun-2025",82.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.3475,5.9825,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.665,"USDINR"
"3968","OPTCUR","GBPINR","OPTION","26-Jun-2025",112.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",3.07,4.36,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.715,"GBPINR"
"4271","OPTCUR","GBPINR","OPTION","26-Mar-2025",116.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.0025,0.02,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0675,"GBPINR"
"9831","OPTCUR","EURINR","OPTION","26-Jun-2025",99.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.045,0.115,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.515,"EURINR"
"2861","OPTCUR","GBPINR","OPTION","26-Mar-2025",114.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.0375,0.1175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0775,"GBPINR"
"3136","OPTCUR","GBPINR","OPTION","26-Jun-2025",115.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.6675,1.1375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.9025,"GBPINR"
"2906","OPTCUR","GBPINR","OPTION","26-Mar-2025",115.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.0325,0.0975,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.065,"GBPINR"
"9820","OPTCUR","EURINR","OPTION","26-Mar-2025",99.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.89,"EURINR"
"16286","OPTCUR","GBPINR","OPTION","26-Mar-2025",115.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",4.3775,6.3725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.375,"GBPINR"
"16293","OPTCUR","GBPINR","OPTION","26-Jun-2025",115.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.5425,0.9375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.74,"GBPINR"
"1684","OPTCUR","EURINR","OPTION","26-Mar-2025",99.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"EURINR"
"1685","OPTCUR","EURINR","OPTION","26-Mar-2025",99.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",7.76,9.3,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"EURINR"
"1764","OPTCUR","EURINR","OPTION","26-Jun-2025",99.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0375,0.1025,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"EURINR"
"1765","OPTCUR","EURINR","OPTION","26-Jun-2025",99.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",6.99,8.47,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"EURINR"
"4263","OPTCUR","GBPINR","OPTION","26-Mar-2025",116.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.0025,0.02,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0775,"GBPINR"
"4264","OPTCUR","GBPINR","OPTION","26-Mar-2025",116.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",4.9825,6.9975,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",9.045,"GBPINR"
"4289","OPTCUR","GBPINR","OPTION","26-Mar-2025",116.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",5.23,7.25,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",9.285,"GBPINR"
"4294","OPTCUR","GBPINR","OPTION","26-Mar-2025",116.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.0025,0.0175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.06,"GBPINR"
"4296","OPTCUR","GBPINR","OPTION","26-Mar-2025",116.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",5.4675,7.4925,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",9.525,"GBPINR"
"4301","OPTCUR","GBPINR","OPTION","26-Jun-2025",116.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.3275,0.6725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.315,"GBPINR"
"4313","OPTCUR","GBPINR","OPTION","26-Jun-2025",116.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",5.135,6.825,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",8.7375,"GBPINR"
"4324","OPTCUR","GBPINR","OPTION","26-Jun-2025",116.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.2975,0.6225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.2925,"GBPINR"
"4325","OPTCUR","GBPINR","OPTION","26-Jun-2025",116.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",5.335,7.045,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",8.9625,"GBPINR"
"4327","OPTCUR","GBPINR","OPTION","26-Jun-2025",116.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.2675,0.5725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.27,"GBPINR"
"4328","OPTCUR","GBPINR","OPTION","26-Jun-2025",116.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",5.545,7.275,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",9.1875,"GBPINR"
"4738","FUTCUR","USDINR","FUTURE","26-Aug-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",1110,1,1000,0.0025,"US Dollar - Indian Rupee","","","","",85.5075,90.795,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",88.15,"USDINR"
"4733","FUTCUR","EURINR","FUTURE","26-Aug-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO - Indian Rupees","","","","",89.8225,95.38,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",92.6,"EURINR"
"4735","FUTCUR","GBPINR","FUTURE","26-Aug-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"Pound-Indian Rupees","","","","",107.51,114.1575,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",110.8325,"GBPINR"
"4737","FUTCUR","JPYINR","FUTURE","26-Aug-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"YEN - Indian Rupees","","","","",58.2875,61.895,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",60.09,"JPYINR"
"16287","OPTCUR","GBPINR","OPTION","26-Mar-2025",115.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.0175,0.0525,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.035,"GBPINR"
"5545","OPTCUR","EURINR","OPTION","26-Jun-2025",98.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",5.8425,7.2775,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.6025,"EURINR"
"1617","OPTCUR","EURINR","OPTION","26-Mar-2025",98.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",6.76,8.3,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.7425,"EURINR"
"6904","OPTCUR","EURINR","OPTION","26-Jun-2025",99.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",6.2925,7.7475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.48,"EURINR"
"16290","OPTCUR","GBPINR","OPTION","26-Mar-2025",116.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",4.8525,6.8625,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.8575,"GBPINR"
"16296","OPTCUR","GBPINR","OPTION","26-Jun-2025",116.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",5.2525,6.9175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.085,"GBPINR"
"7091","OPTCUR","GBPINR","OPTION","26-Mar-2025",115.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.025,0.08,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0525,"GBPINR"
"2878","OPTCUR","GBPINR","OPTION","26-Mar-2025",114.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",3.6825,5.6375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.66,"GBPINR"
"9866","OPTCUR","EURINR","OPTION","26-Jun-2025",99.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",6.7525,8.2275,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.5675,"EURINR"
"6730","OPTCUR","EURINR","OPTION","26-Mar-2025",99.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.93,"EURINR"
"6906","OPTCUR","EURINR","OPTION","26-Jun-2025",99.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.05,0.13,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.4725,"EURINR"
"7093","OPTCUR","GBPINR","OPTION","26-Jun-2025",115.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.6225,1.0675,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.845,"GBPINR"
"16289","OPTCUR","GBPINR","OPTION","26-Mar-2025",116.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.0125,0.0425,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0275,"GBPINR"
"16295","OPTCUR","GBPINR","OPTION","26-Jun-2025",116.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.5075,0.8775,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.6925,"GBPINR"
